,Name,Description,Ingredients,Instructions,Season
200,Cacio e Pepe,A simple yet flavorful Italian pasta with cheese and black pepper.,"200g spaghetti, 1/2 cup Pecorino Romano, 1 tsp black pepper, 1 tbsp olive oil, 1 garlic clove, 1/4 cup pasta water","1. Cook spaghetti and save pasta water. 2. Sauté garlic and black pepper in olive oil. 3. Add pasta water and cheese, stirring well. 4. Toss in spaghetti and mix until creamy. 5. Serve hot with extra cheese.",Summer
201,Masala Macaroni,An Indian twist on macaroni with bold spices and veggies.,"1 cup macaroni, 1/2 cup bell peppers, 1/4 cup onions, 1 tomato, 1/2 tsp turmeric, 1/2 tsp red chili powder, 1/2 tsp garam masala, 1 tbsp oil, 1/2 tsp salt","1. Boil macaroni and keep aside. 2. Heat oil in a pan and sauté onions, tomatoes, and bell peppers. 3. Add turmeric, red chili powder, and garam masala. 4. Mix in the boiled macaroni and cook for 2 minutes. 5. Serve hot.",Rainy
202,Paneer Tikka Pasta,A fusion of classic paneer tikka flavors with pasta.,"1 cup penne pasta, 1/2 cup paneer cubes, 1/4 cup yogurt, 1/2 tsp cumin powder, 1/2 tsp garam masala, 1 tbsp oil, 1/2 tsp salt, 1/4 cup onions, 1/4 cup capsicum","1. Marinate paneer with yogurt, cumin, and garam masala for 30 minutes. 2. Cook pasta and keep aside. 3. Sauté onions and capsicum, then add marinated paneer. 4. Mix in pasta and stir well. 5. Serve hot.",Summer
203,Spicy Tomato Basil Pasta,A tangy and spicy pasta with fresh Indian spices.,"1 cup spaghetti, 2 tomatoes, 1/2 tsp mustard seeds, 1/2 tsp red chili flakes, 1/4 cup basil leaves, 1 tbsp olive oil, 1/2 tsp salt","1. Boil spaghetti and set aside. 2. Heat oil and add mustard seeds until they splutter. 3. Add chopped tomatoes, chili flakes, and cook until soft. 4. Mix in spaghetti and basil leaves. 5. Serve warm.",Summer
204,Coconut Curry Pasta,A creamy coconut curry pasta with Indian flavors.,"1 cup fusilli pasta, 1/2 cup coconut milk, 1/2 tsp turmeric, 1/2 tsp cumin, 1/4 cup onions, 1/4 cup bell peppers, 1 tbsp oil, 1/2 tsp salt","1. Cook pasta and keep aside. 2. Heat oil, sauté onions and bell peppers. 3. Add turmeric, cumin, and salt. 4. Stir in coconut milk and let it simmer. 5. Mix with pasta and serve.",Rainy
205,Tandoori Mushroom Pasta,A smoky and spicy tandoori-flavored pasta.,"1 cup penne pasta, 1/2 cup mushrooms, 1/4 cup yogurt, 1/2 tsp tandoori masala, 1/2 tsp red chili powder, 1 tbsp oil, 1/2 tsp salt","1. Marinate mushrooms with yogurt, tandoori masala, and chili powder. 2. Cook pasta and set aside. 3. Sauté marinated mushrooms in oil until golden. 4. Mix with pasta and stir well. 5. Serve warm.",Winter
206,Aloo Methi Pasta,A comforting pasta dish with potatoes and fenugreek leaves.,"1 cup penne pasta, 1/2 cup potatoes (boiled), 1/4 cup methi leaves, 1/2 tsp cumin seeds, 1/2 tsp turmeric, 1 tbsp oil, 1/2 tsp salt","1. Boil pasta and keep aside. 2. Heat oil, add cumin seeds, and sauté methi leaves. 3. Add boiled potatoes, turmeric, and salt. 4. Mix with pasta and stir well. 5. Serve hot.",Winter
207,Peanut Masala Pasta,A crunchy and spicy peanut-based pasta.,"1 cup spaghetti, 1/4 cup roasted peanuts, 1/2 tsp red chili powder, 1/2 tsp cumin, 1 tbsp oil, 1/4 cup onions, 1/2 tsp salt","1. Cook spaghetti and keep aside. 2. Heat oil, sauté onions and add peanuts. 3. Add chili powder, cumin, and salt. 4. Toss with spaghetti and mix well. 5. Serve warm.",Summer
208,Korma Style Pasta,A rich and creamy korma-flavored pasta.,"1 cup fusilli pasta, 1/2 cup coconut milk, 1/4 cup cashews, 1/2 tsp garam masala, 1/2 tsp turmeric, 1 tbsp oil, 1/2 tsp salt","1. Boil pasta and set aside. 2. Heat oil, blend cashews into a paste and add. 3. Add turmeric, garam masala, and salt. 4. Stir in coconut milk and let it simmer. 5. Mix with pasta and serve.",Winter
209,Palak Paneer Pasta,A healthy and creamy spinach-paneer pasta.,"1 cup penne pasta, 1/2 cup spinach puree, 1/2 cup paneer cubes, 1/2 tsp cumin, 1/2 tsp turmeric, 1 tbsp oil, 1/2 tsp salt","1. Cook pasta and keep aside. 2. Heat oil, add cumin and sauté paneer cubes. 3. Add spinach puree, turmeric, and salt. 4. Stir and cook for 3 minutes. 5. Mix with pasta and serve.",Rainy
210,Schezwan Masala Pasta,A spicy Indo-Chinese fusion pasta.,"1 cup spaghetti, 1 tbsp schezwan sauce, 1/2 tsp soy sauce, 1/4 cup bell peppers, 1/4 cup onions, 1 tbsp oil, 1/2 tsp salt","1. Cook spaghetti and set aside. 2. Heat oil, sauté onions and bell peppers. 3. Add schezwan sauce, soy sauce, and salt. 4. Stir well and mix with spaghetti. 5. Serve hot.",Summer
211,Classic Beef Burger,A juicy beef burger with fresh toppings and a toasted bun.,"1/2 lb ground beef, 1 burger bun, 1 slice cheddar cheese, 2 lettuce leaves, 2 tomato slices, 1 tbsp ketchup, 1 tsp mustard, 1/2 tsp salt, 1/4 tsp black pepper","1. Season the ground beef with salt and pepper. 2. Shape into a patty and grill for 4 minutes per side. 3. Toast the bun and melt cheese on the patty. 4. Assemble with lettuce, tomato, ketchup, and mustard. 5. Serve hot.",Summer
212,BBQ Bacon Burger,A smoky BBQ burger with crispy bacon and melted cheese.,"1/2 lb ground beef, 2 bacon strips, 1 burger bun, 1 slice smoked cheddar cheese, 1 tbsp BBQ sauce, 1/2 tsp salt, 1/4 tsp black pepper","1. Cook bacon until crispy and set aside. 2. Season ground beef and shape into a patty. 3. Grill patty for 4 minutes per side, adding cheese on top. 4. Toast bun and spread BBQ sauce. 5. Assemble burger with bacon and serve.",Summer
213,Spicy Jalapeño Burger,A fiery burger with spicy jalapeños and pepper jack cheese.,"1/2 lb ground beef, 1 burger bun, 1 slice pepper jack cheese, 2 jalapeño slices, 1 tbsp chipotle mayo, 1/2 tsp salt, 1/4 tsp black pepper",1. Season ground beef and form into a patty. 2. Grill for 4 minutes per side. 3. Toast bun and spread chipotle mayo. 4. Add cheese and jalapeños to the patty. 5. Assemble and serve.,Summer
214,Mushroom Swiss Burger,A rich and savory burger with sautéed mushrooms and Swiss cheese.,"1/2 lb ground beef, 1 burger bun, 1 slice Swiss cheese, 1/2 cup mushrooms, 1 tbsp butter, 1 tbsp mayo, 1/2 tsp salt, 1/4 tsp black pepper","1. Cook mushrooms in butter until golden. 2. Season ground beef and shape into a patty. 3. Grill for 4 minutes per side, adding Swiss cheese on top. 4. Toast bun and spread mayo. 5. Assemble with mushrooms and serve.",Rainy
215,Teriyaki Pineapple Burger,A sweet and savory burger with teriyaki sauce and grilled pineapple.,"1/2 lb ground beef, 1 burger bun, 1 slice pineapple, 1 tbsp teriyaki sauce, 1 slice Swiss cheese, 1/2 tsp salt, 1/4 tsp black pepper","1. Grill pineapple slice until caramelized. 2. Season ground beef and shape into a patty. 3. Grill for 4 minutes per side, adding Swiss cheese. 4. Toast bun and spread teriyaki sauce. 5. Assemble with pineapple and serve.",Summer
216,Blue Cheese Burger,A bold burger with tangy blue cheese and caramelized onions.,"1/2 lb ground beef, 1 burger bun, 1/4 cup blue cheese, 1/2 cup caramelized onions, 1 tbsp mayo, 1/2 tsp salt, 1/4 tsp black pepper","1. Caramelize onions in a pan over low heat. 2. Season ground beef and shape into a patty. 3. Grill for 4 minutes per side. 4. Toast bun and spread mayo. 5. Assemble with blue cheese and onions, then serve.",Winter
217,Lamb Burger with Tzatziki,A Mediterranean-inspired lamb burger with a cool tzatziki sauce.,"1/2 lb ground lamb, 1 burger bun, 2 tbsp tzatziki sauce, 2 lettuce leaves, 1 slice tomato, 1/2 tsp salt, 1/4 tsp black pepper",1. Season ground lamb and shape into a patty. 2. Grill for 4 minutes per side. 3. Toast bun and spread tzatziki sauce. 4. Add lettuce and tomato. 5. Assemble and serve.,Summer
218,Salmon Burger,A light and healthy burger made with fresh salmon and dill sauce.,"1/2 lb salmon fillet, 1 burger bun, 1 tbsp dill sauce, 2 lettuce leaves, 1/2 tsp salt, 1/4 tsp black pepper",1. Chop salmon finely and mix with seasonings. 2. Shape into a patty and grill for 3 minutes per side. 3. Toast bun and spread dill sauce. 4. Add lettuce and assemble. 5. Serve warm.,Summer
219,Veggie Burger,A hearty vegetarian burger made with black beans and quinoa.,"1/2 cup black beans, 1/4 cup cooked quinoa, 1 burger bun, 1 tbsp mayo, 1 slice cheddar cheese, 1/2 tsp salt, 1/4 tsp black pepper",1. Mash black beans and mix with quinoa. 2. Form into a patty and pan-fry for 4 minutes per side. 3. Toast bun and spread mayo. 4. Add cheese and assemble. 5. Serve hot.,Rainy
220,Korean Bulgogi Burger,A Korean-inspired burger with marinated beef and spicy gochujang sauce.,"1/2 lb ground beef, 1 burger bun, 1 tbsp gochujang sauce, 1 tbsp soy sauce, 1 tsp sesame oil, 1/2 tsp sugar, 1 slice lettuce","1. Marinate beef with soy sauce, sesame oil, and sugar for 30 minutes. 2. Shape into a patty and grill for 4 minutes per side. 3. Toast bun and spread gochujang sauce. 4. Add lettuce and assemble. 5. Serve warm.",Winter
221,Korean Fried Chicken Burger,A crispy Korean-style fried chicken burger with spicy gochujang mayo.,"1 chicken breast, 1 burger bun, 1 tbsp gochujang mayo, 1/2 cup flour, 1/2 cup buttermilk, 1 tsp garlic powder, 1/2 tsp salt, 1/4 tsp black pepper, 2 lettuce leaves",1. Marinate chicken in buttermilk for 1 hour. 2. Coat in flour mixed with seasonings and deep-fry until golden. 3. Toast bun and spread gochujang mayo. 4. Add lettuce and crispy chicken. 5. Assemble and serve.,Rainy
222,Nashville Hot Chicken Burger,A fiery American-style hot chicken burger with pickles and spicy mayo.,"1 chicken breast, 1 burger bun, 1 tbsp spicy mayo, 1/2 cup flour, 1/2 cup buttermilk, 1 tsp cayenne pepper, 1/2 tsp paprika, 1/2 tsp salt, 2 pickle slices",1. Marinate chicken in buttermilk for 1 hour. 2. Coat in seasoned flour and deep-fry until crispy. 3. Toss fried chicken in cayenne and paprika mix. 4. Toast bun and spread spicy mayo. 5. Add pickles and assemble.,Winter
223,Japanese Teriyaki Chicken Burger,A sweet and savory Japanese burger with teriyaki-glazed chicken.,"1 chicken thigh, 1 burger bun, 1 tbsp teriyaki sauce, 1 slice lettuce, 1 tbsp mayo, 1/2 tsp sesame seeds",1. Marinate chicken in teriyaki sauce for 30 minutes. 2. Grill until caramelized and cooked through. 3. Toast bun and spread mayo. 4. Add lettuce and chicken. 5. Sprinkle sesame seeds and serve.,Summer
224,Buffalo Chicken Burger,A tangy and spicy buffalo chicken burger with blue cheese dressing.,"1 chicken breast, 1 burger bun, 1 tbsp buffalo sauce, 1 tbsp blue cheese dressing, 2 lettuce leaves, 1/2 cup flour, 1/2 cup buttermilk, 1/2 tsp salt",1. Marinate chicken in buttermilk. 2. Coat in seasoned flour and deep-fry. 3. Toss in buffalo sauce. 4. Toast bun and spread blue cheese dressing. 5. Assemble with lettuce and serve.,Rainy
225,BBQ Grilled Chicken Burger,A smoky and juicy BBQ grilled chicken burger with caramelized onions.,"1 chicken breast, 1 burger bun, 1 tbsp BBQ sauce, 1/2 cup caramelized onions, 1 slice cheddar cheese, 1/2 tsp salt, 1/4 tsp black pepper",1. Season chicken and grill until cooked through. 2. Brush with BBQ sauce. 3. Toast bun and melt cheese on chicken. 4. Add caramelized onions. 5. Assemble and serve.,Summer
226,Avocado Veggie Burger,A healthy and creamy veggie burger with fresh avocado and sprouts.,"1 veggie patty, 1 burger bun, 1/2 avocado sliced, 1 tbsp mayo, 1/4 cup alfalfa sprouts, 1 slice tomato",1. Cook veggie patty as per package instructions. 2. Toast bun and spread mayo. 3. Layer with avocado and sprouts. 4. Add tomato slice. 5. Assemble and serve.,Summer
227,Spicy Black Bean Burger,A protein-packed black bean burger with jalapeños and pepper jack cheese.,"1/2 cup black beans, 1/4 cup breadcrumbs, 1 burger bun, 1 slice pepper jack cheese, 2 jalapeño slices, 1 tbsp spicy mayo",1. Mash black beans and mix with breadcrumbs. 2. Form into a patty and pan-fry. 3. Toast bun and spread spicy mayo. 4. Melt cheese on the patty and add jalapeños. 5. Assemble and serve.,Rainy
228,Thai Peanut Chicken Burger,A unique Thai-inspired chicken burger with a rich peanut sauce.,"1 chicken patty, 1 burger bun, 1 tbsp peanut sauce, 2 lettuce leaves, 1 tbsp chopped peanuts, 1/2 tsp soy sauce",1. Grill chicken patty until cooked. 2. Toast bun and spread peanut sauce. 3. Add lettuce and chicken patty. 4. Sprinkle chopped peanuts. 5. Assemble and serve.,Summer
229,Portobello Mushroom Burger,A juicy and flavorful mushroom burger with balsamic glaze.,"1 portobello mushroom cap, 1 burger bun, 1 tbsp balsamic glaze, 1 slice Swiss cheese, 2 lettuce leaves, 1 tbsp mayo",1. Marinate mushroom in balsamic glaze. 2. Grill until tender. 3. Toast bun and spread mayo. 4. Melt Swiss cheese on mushroom. 5. Assemble with lettuce and serve.,Winter
230,Korean Kimchi Veggie Burger,A spicy and tangy veggie burger with kimchi and gochujang mayo.,"1 veggie patty, 1 burger bun, 1/4 cup kimchi, 1 tbsp gochujang mayo, 1 slice cheddar cheese, 2 lettuce leaves",1. Cook veggie patty as per package instructions. 2. Toast bun and spread gochujang mayo. 3. Add cheese and let it melt on the patty. 4. Top with kimchi and lettuce. 5. Assemble and serve.,Winter
231,Tandoori Chicken Burger,A smoky and spiced Indian-style chicken burger with tandoori flavors.,"1 chicken breast, 1 burger bun, 1 tbsp tandoori marinade, 1 tbsp yogurt, 1 slice onion, 1 slice tomato, 2 lettuce leaves, 1 tbsp mint chutney","1. Marinate chicken in tandoori marinade and yogurt for 2 hours. 2. Grill until charred and cooked through. 3. Toast bun and spread mint chutney. 4. Add lettuce, tomato, and onion. 5. Assemble and serve.",Rainy
232,Paneer Tikka Burger,A delicious Indian burger with grilled paneer and spicy tikka sauce.,"1 paneer slice, 1 burger bun, 1 tbsp tikka masala sauce, 1 tbsp yogurt, 1/4 cup bell peppers, 1 slice onion, 1 tbsp mint chutney","1. Marinate paneer in tikka masala sauce and yogurt for 1 hour. 2. Grill paneer until slightly charred. 3. Toast bun and spread mint chutney. 4. Add grilled paneer, onions, and bell peppers. 5. Assemble and serve.",Winter
233,Masala Aloo Tikki Burger,A spiced potato patty burger with chutney and crunchy veggies.,"1 potato, 1/4 cup peas, 1 burger bun, 1 tbsp green chutney, 1 tbsp tamarind chutney, 1 slice tomato, 1 slice onion, 1/4 tsp cumin, 1/4 tsp garam masala",1. Boil and mash potatoes and peas. 2. Mix with spices and form a patty. 3. Shallow fry until crispy. 4. Toast bun and spread green and tamarind chutney. 5. Assemble with veggies and serve.,Rainy
234,Spicy Chicken Kebab Burger,A juicy chicken kebab burger with Indian spices and garlic yogurt sauce.,"1 chicken thigh, 1 burger bun, 1/2 tsp cumin, 1/2 tsp garam masala, 1/2 tsp chili powder, 1 tbsp garlic yogurt sauce, 1 slice onion, 1 tbsp coriander leaves",1. Marinate chicken in spices and grill until tender. 2. Toast bun and spread garlic yogurt sauce. 3. Add onion slices and grilled chicken. 4. Garnish with coriander leaves. 5. Assemble and serve.,Winter
235,Dabeli Burger,A Gujarati-inspired burger with spiced potato filling and pomegranate seeds.,"1 potato, 1 burger bun, 1 tbsp dabeli masala, 1 tbsp tamarind chutney, 1 tbsp garlic chutney, 1 tbsp pomegranate seeds, 1 tbsp peanuts, 1 tbsp sev","1. Boil and mash potato, mix with dabeli masala. 2. Spread garlic and tamarind chutney on the bun. 3. Add potato filling and garnish with pomegranate seeds and peanuts. 4. Sprinkle sev for crunch. 5. Assemble and serve.",Summer
236,Butter Chicken Burger,A fusion burger with creamy butter chicken flavors and soft buns.,"1 chicken breast, 1 burger bun, 1 tbsp butter chicken sauce, 1 tbsp yogurt, 1 slice tomato, 1 tbsp cilantro, 1 tbsp butter",1. Marinate chicken in butter chicken sauce and yogurt for 1 hour. 2. Cook in butter until tender. 3. Toast bun with butter. 4. Add tomato and chicken. 5. Garnish with cilantro and serve.,Winter
237,Mumbai Vada Pav Burger,A spicy and tangy Indian street-style potato burger with chutneys.,"1 potato, 1 burger bun, 1 tbsp garlic chutney, 1 tbsp tamarind chutney, 1/2 tsp mustard seeds, 1/2 tsp turmeric, 1 green chili, 1 tbsp chickpea flour","1. Boil and mash potato, mix with spices. 2. Coat in chickpea batter and deep-fry. 3. Toast bun and spread chutneys. 4. Place fried vada inside. 5. Serve with fried green chili.",Rainy
238,Chili Paneer Burger,A spicy Indo-Chinese burger with stir-fried chili paneer and crunchy veggies.,"1/2 cup paneer cubes, 1 burger bun, 1 tbsp soy sauce, 1 tbsp chili sauce, 1/2 tsp garlic, 1/2 cup bell peppers, 1 tbsp green onions","1. Stir-fry paneer with garlic, soy sauce, and chili sauce. 2. Sauté bell peppers until tender. 3. Toast bun and add stir-fried paneer and vegetables. 4. Garnish with green onions. 5. Assemble and serve.",Winter
239,Tawa Chicken Burger,A pan-seared Indian chicken burger with onion-tomato masala and spicy mayo.,"1 chicken patty, 1 burger bun, 1 tbsp onion-tomato masala, 1 tbsp spicy mayo, 1 slice lettuce, 1 slice cheese",1. Cook chicken patty on tawa with masala. 2. Toast bun and spread spicy mayo. 3. Add lettuce and cheese. 4. Place chicken patty on top. 5. Assemble and serve.,Rainy
240,Curried Chickpea Burger,A protein-rich chickpea burger with Indian spices and mint yogurt.,"1/2 cup chickpeas, 1/4 cup breadcrumbs, 1 burger bun, 1/2 tsp cumin, 1/2 tsp coriander, 1 tbsp mint yogurt, 1 slice tomato, 1 lettuce leaf",1. Mash chickpeas and mix with spices and breadcrumbs. 2. Form into a patty and pan-fry. 3. Toast bun and spread mint yogurt. 4. Add tomato and lettuce. 5. Assemble and serve.,Summer
241,Gobi Manchurian Burger,A crispy and flavorful Indo-Chinese fusion burger featuring deep-fried cauliflower,"1/2 cup cauliflower florets, 1 tbsp cornflour, 1 tbsp all-purpose flour, 1 tsp soy sauce, 1 tsp chili sauce, 1 burger bun",1. Coat cauliflower florets in cornflour and all-purpose flour batter. 2. Deep-fry until crispy and golden. 3. Toss the fried cauliflower in soy sauce and chili sauce. 4. Toast the burger bun and assemble. 5. Serve hot.,Rainy
242,Mushroom Masala Burger,"A rich and earthy mushroom patty infused with Indian spices, served with garlic mayo in a toasted bun.","1/2 cup mushrooms, 1/4 cup breadcrumbs, 1/2 tsp cumin, 1/2 tsp coriander, 1/2 tsp garam masala, 1 tbsp garlic mayo, 1 burger bun, 1 slice onion, 1 slice tomato, 1 lettuce leaf","1. Finely chop mushrooms and saut� with cumin, coriander, and garam masala. 2. Mix with breadcrumbs and shape into a patty. 3. Pan-fry the patty until golden brown. 4. Toast the burger bun and spread garlic mayo. 5. Add the mushroom patty, onion, tomato, and lettuce, then assemble and serve warm.",Winter
243,Spicy Korean Bulgogi Burger,A savory and spicy Korean-inspired beef burger marinated in traditional bulgogi sauce.,"1/2 lb ground beef, 1 burger bun, 1 tbsp soy sauce, 1 tbsp gochujang, 1 tsp sesame oil, 1/2 tsp garlic paste, 1/2 tsp ginger paste, 1 slice cheddar cheese, 1 lettuce leaf, 1 tbsp kimchi","1. Mix ground beef with soy sauce, gochujang, sesame oil, garlic, and ginger. 2. Shape into a patty and marinate for 30 minutes. 3. Grill the patty until cooked through, adding cheese to melt. 4. Toast the burger bun and spread a thin layer of gochujang. 5. Add the beef patty, kimchi, and lettuce, then assemble and serve hot.",Winter
244,Korean Kimchi Chicken Burger,A bold and tangy Korean-style burger with crispy chicken and spicy kimchi mayo.,"1 chicken breast, 1 burger bun, 1/2 cup kimchi, 1 tbsp gochujang, 1/2 cup buttermilk, 1/2 cup flour, 1/2 tsp garlic powder, 1/4 tsp salt, 1/4 tsp black pepper, 1 tbsp mayo, 1 lettuce leaf","1. Marinate chicken in buttermilk for 1 hour. 2. Coat in flour mixed with salt, pepper, and garlic powder. 3. Deep-fry chicken until crispy and golden. 4. Mix kimchi with gochujang and mayo. 5. Toast the burger bun, spread kimchi mayo, add lettuce and crispy chicken, then assemble and serve.",Rainy
245,Korean BBQ Tofu Burger,A delicious and smoky plant-based Korean burger featuring grilled tofu and BBQ glaze.,"1/2 block firm tofu, 1 burger bun, 1 tbsp soy sauce, 1 tbsp gochujang, 1 tbsp honey, 1/2 tsp sesame oil, 1/2 tsp garlic paste, 1 slice tomato, 1 lettuce leaf","1. Press and slice tofu into thick slabs. 2. Marinate tofu in soy sauce, gochujang, honey, sesame oil, and garlic paste for 30 minutes. 3. Grill the tofu slabs until slightly charred. 4. Toast the burger bun and spread extra BBQ glaze. 5. Add grilled tofu, tomato, and lettuce, then assemble and serve warm.",Summer
246,Tomato Basil Soup,"A creamy tomato soup with fresh basil, perfect for summer evenings.","2 cups tomatoes, 1/2 cup fresh basil, 1 cup vegetable broth, 1/2 cup heavy cream, 1 tbsp olive oil, 1/2 tsp salt, 1/4 tsp black pepper","1. Heat olive oil in a pot. 2. Add chopped tomatoes and cook until soft. 3. Pour in vegetable broth and simmer for 10 minutes. 4. Blend until smooth and stir in heavy cream. 5. Season with salt, pepper, and garnish with basil before serving.",Summer
247,Minestrone Soup,"A hearty Italian soup loaded with vegetables, beans, and pasta.","2 cups vegetable broth, 1 cup diced tomatoes, 1/2 cup kidney beans, 1/2 cup pasta, 1/2 cup carrots, 1/4 cup celery, 1 tsp Italian seasoning, 1 tbsp olive oil","1. Heat olive oil in a pot and sauté carrots and celery. 2. Add diced tomatoes and vegetable broth. 3. Stir in kidney beans and seasonings. 4. Simmer for 15 minutes, then add pasta. 5. Cook until pasta is tender and serve warm.",Winter
248,Chicken Noodle Soup,"A classic comforting soup with tender chicken, noodles, and broth.","2 cups chicken broth, 1 cup shredded chicken, 1/2 cup egg noodles, 1/2 cup carrots, 1/4 cup celery, 1/2 tsp salt, 1/4 tsp black pepper, 1 tsp garlic powder","1. Heat chicken broth in a pot. 2. Add shredded chicken, carrots, and celery. 3. Stir in garlic powder and simmer for 10 minutes. 4. Add egg noodles and cook until tender. 5. Season with salt and pepper before serving.",Rainy
249,Pumpkin Soup,"A smooth and creamy pumpkin soup with warming spices, ideal for winter.","2 cups pumpkin puree, 1 cup vegetable broth, 1/2 cup heavy cream, 1 tbsp butter, 1/2 tsp cinnamon, 1/4 tsp nutmeg, 1/2 tsp salt","1. Melt butter in a pot and add pumpkin puree. 2. Pour in vegetable broth and stir well. 3. Add cinnamon, nutmeg, and salt, then simmer for 15 minutes. 4. Blend until smooth. 5. Stir in heavy cream and serve warm.",Winter
250,Corn Chowder,"A rich and creamy corn soup with potatoes, perfect for a cozy winter meal.","2 cups corn kernels, 1 cup diced potatoes, 1 cup vegetable broth, 1/2 cup milk, 1 tbsp butter, 1/2 tsp salt, 1/4 tsp black pepper, 1/2 cup onions","1. Melt butter in a pot and sauté onions. 2. Add potatoes and corn, cooking for 5 minutes. 3. Pour in vegetable broth and simmer until potatoes are tender. 4. Stir in milk, salt, and pepper. 5. Blend partially for a creamy texture and serve warm.",Winter
251,Gazpacho,"A refreshing cold Spanish soup made with fresh vegetables, perfect for hot summer days.","2 cups ripe tomatoes, 1/2 cup cucumber, 1/2 cup bell pepper, 1/4 cup red onion, 1 clove garlic, 1 tbsp olive oil, 1 tbsp vinegar, 1/2 tsp salt","1. Chop tomatoes, cucumber, bell pepper, and onion. 2. Blend all ingredients until smooth. 3. Stir in olive oil, vinegar, and salt. 4. Chill in the refrigerator for at least 2 hours. 5. Serve cold, garnished with fresh herbs.",Summer
252,French Onion Soup,A rich and savory onion soup topped with toasted bread and melted cheese.,"2 cups beef broth, 2 cups onions sliced, 1 tbsp butter, 1/2 tsp thyme, 1/2 tsp salt, 1/4 tsp black pepper, 2 slices baguette, 1/2 cup grated cheese","1. Melt butter in a pot and sauté onions until caramelized. 2. Add beef broth, thyme, salt, and pepper. 3. Simmer for 20 minutes. 4. Toast baguette slices and place on top of the soup. 5. Sprinkle with cheese and broil until melted.",Winter
253,Lentil Soup,"A nutritious and hearty soup made with lentils, vegetables, and spices.","2 cups vegetable broth, 1 cup lentils, 1/2 cup carrots, 1/2 cup celery, 1/2 cup tomatoes, 1/2 tsp cumin, 1/2 tsp salt, 1/4 tsp black pepper",1. Rinse lentils and set aside. 2. Heat broth in a pot and add chopped vegetables. 3. Stir in lentils and seasonings. 4. Simmer for 25 minutes until lentils are tender. 5. Blend partially for a creamy texture and serve warm.,Rainy
254,Miso Soup,"A light Japanese soup made with miso, tofu, and seaweed.","2 cups miso broth, 1/2 cup tofu diced, 1/4 cup seaweed, 1/2 tsp sesame oil, 1/4 cup green onions",1. Heat miso broth and add tofu. 2. Stir in seaweed and sesame oil. 3. Simmer for 5 minutes. 4. Garnish with green onions. 5. Serve warm.,Rainy
255,Clam Chowder,A creamy seafood soup with clams and potatoes.,"2 cups clam broth, 1 cup diced potatoes, 1/2 cup heavy cream, 1/2 cup clams, 1/4 cup celery, 1 tbsp butter, 1/2 tsp salt","1. Melt butter in a pot and sauté celery. 2. Add potatoes and clam broth, simmer for 15 minutes. 3. Stir in clams and heavy cream. 4. Simmer until thickened. 5. Serve hot.",Winter
256,Carrot Ginger Soup,A bright and spicy soup with carrots and ginger.,"2 cups carrots, 1/2 cup onion, 1 tsp ginger grated, 1 cup vegetable broth, 1/2 cup coconut milk, 1 tbsp olive oil, 1/2 tsp salt","1. Heat olive oil and sauté onions and ginger. 2. Add carrots and broth, simmer until soft. 3. Blend until smooth. 4. Stir in coconut milk. 5. Serve warm.",Winter
257,Broccoli Cheddar Soup,"A creamy and cheesy broccoli soup, perfect for winter nights.","2 cups broccoli, 1 cup cheddar cheese, 1 cup milk, 1 cup vegetable broth, 1 tbsp butter, 1/2 tsp salt, 1/4 tsp black pepper","1. Melt butter in a pot and sauté chopped broccoli. 2. Pour in vegetable broth and simmer until broccoli is soft. 3. Blend until smooth. 4. Stir in milk and cheddar cheese. 5. Season with salt and pepper, then serve hot.",Winter
258,Spicy Black Bean Soup,A hearty and spicy black bean soup with a smoky flavor.,"2 cups black beans, 1 cup vegetable broth, 1/2 cup diced tomatoes, 1/2 cup onions, 1 clove garlic, 1 tsp cumin, 1/2 tsp smoked paprika, 1/4 tsp chili powder","1. Sauté onions and garlic in a pot until fragrant. 2. Add black beans, diced tomatoes, and vegetable broth. 3. Stir in cumin, paprika, and chili powder. 4. Simmer for 20 minutes. 5. Blend partially and serve warm.",Winter
259,Lemon Chicken Soup,"A refreshing lemon-infused chicken soup, great for rainy days.","2 cups chicken broth, 1 cup shredded chicken, 1/2 cup rice, 1/2 lemon (juiced), 1/2 cup carrots, 1/2 tsp salt, 1/4 tsp black pepper",1. Heat chicken broth in a pot. 2. Add shredded chicken and carrots. 3. Stir in rice and cook until tender. 4. Squeeze in lemon juice and season with salt and pepper. 5. Serve warm.,Rainy
260,Mulligatawny Soup,A rich and flavorful Indian-inspired soup with lentils and spices.,"2 cups vegetable broth, 1/2 cup lentils, 1/2 cup diced apples, 1/2 cup carrots, 1/2 cup onions, 1 clove garlic, 1 tsp curry powder, 1 tbsp butter","1. Melt butter in a pot and sauté onions, garlic, and carrots. 2. Stir in curry powder and lentils. 3. Add diced apples and vegetable broth. 4. Simmer for 25 minutes. 5. Blend partially and serve warm.",Winter
261,Cabbage Soup,A light and nutritious soup with cabbage and tomatoes.,"2 cups cabbage shredded, 1 cup diced tomatoes, 1 cup vegetable broth, 1/2 cup carrots, 1/2 tsp salt, 1/4 tsp black pepper","1. Heat vegetable broth in a pot. 2. Add shredded cabbage, diced tomatoes, and carrots. 3. Simmer for 20 minutes. 4. Season with salt and pepper. 5. Serve warm.",Rainy
